Date,driving,transit,walking,,Number_of_Cases,Mobility Average,,,,,,,,,,,,,,,
1/1/2020,100,100,100,,0,100,,,,,,,,,,,,,,,
1/2/2020,102.97,97.77,99.59,,0,100.11,,,,,,,,,,,,,,,
1/3/2020,105.19,98.84,101.87,,0,101.9666667,,,,,,,,,,,,,,,
1/4/2020,108.48,99.04,100.6,,0,102.7066667,,,,,,,,,,,,,,,
1/5/2020,125.51,108.03,121.36,,0,118.3,,,,,,,,,,,,,,,
1/6/2020,115.04,97.41,132.38,,0,114.9433333,,,,,,,,,,,,,,,
1/7/2020,90.91,85.4,100.1,,0,92.13666667,,,,,,,,,,,,,,,
1/8/2020,102.57,92.39,94.79,,0,96.58333333,,,,,,,,,,,,,,,
1/9/2020,103.07,100.27,94.84,,0,99.39333333,,,,,,,,,,,,,,,
1/10/2020,103.01,101.06,97.04,,0,100.37,,,,,,,,,,,,,,,
1/11/2020,107.9,103.29,100.83,,0,104.0066667, ,,,,,,,,,,,,,,
1/12/2020,124.7,113.06,126.67,,0,121.4766667,,,,,,,,,,,,,,,
1/13/2020,120.92,101.88,139.61,,0,120.8033333,,,,,,,,,,,,,,,
1/14/2020,87.32,81.35,89.9,,0,86.19,,,,,,,,,,,,,,,
1/15/2020,97.97,97.56,91.94,,0,95.82333333,,,,,,,,,,,,,,,
1/16/2020,101.54,97.08,93.97,,0,97.53,,,,,,,,,,,,,,,
1/17/2020,102.2,97.49,94.44,,0,98.04333333,,,,,,,,,,,,,,,
1/18/2020,107.61,100.72,99.96,,0,102.7633333,,,,,,,,,,,,,,,
1/19/2020,126.08,110.99,125.02,,0,120.6966667,,,,,,,,,,,,,,,
1/20/2020,122.32,103.42,140.8,,0,122.18,,,,,,,,,,,,,,,
1/21/2020,85.25,80.2,88.42,,0,84.62333333,,,,,,,,,,,,,,,
1/22/2020,98.86,96.48,92.42,,0,95.92,,,,,,,,,,,,,,,
1/23/2020,101.99,97.63,93.82,,0,97.81333333,,,,,,,,,,,,,,,
1/24/2020,101.77,98.26,94.52,,0,98.18333333,,,,,,,,,,,,,,,
1/25/2020,107.72,101.15,97.6,,0,102.1566667,,,,,,,,,,,,,,,
1/26/2020,124.07,110.91,122.23,,0,119.07,,,,,,,,,,,,,,,
1/27/2020,122.87,107.27,142.94,,0,124.36,,,,,,,,,,,,,,,
1/28/2020,91.58,84.2,92.83,,0,89.53666667,,,,,,,,,,,,,,,
1/29/2020,102.93,98.3,91.94,,0,97.72333333,,,,,,,,,,,,,,,
1/30/2020,106.75,100.64,96.13,,0,101.1733333,,,,,,,,,,,,,,,
1/31/2020,109.02,102.08,99.84,,0,103.6466667,,,,,,,,,,,,,,,
2/1/2020,118.36,106.67,108.3,,0,111.11,,,,,,,,,,,,,,,
2/2/2020,145.4,119.06,147.82,,0,137.4266667,,,,,,,,,,,,,,,
2/3/2020,132.51,107.77,158.55,,0,132.9433333,,,,,,,,,,,,,,,
2/4/2020,102.27,91.63,116.26,,0,103.3866667,,,,,,,,,,,,,,,
2/5/2020,110.78,101.73,107.52,,0,106.6766667,,,,,,,,,,,,,,,
2/6/2020,109.46,104.64,100.23,,0,104.7766667,,,,,,,,,,,,,,,
2/7/2020,110.85,105.16,103.21,,0,106.4066667,,,,,,,,,,,,,,,
2/8/2020,114.86,106.16,106.25,,0,109.09,,,,,,,,,,,,,,,
2/9/2020,135.85,117.14,136.41,,0,129.8,,,,,,,,,,,,,,,
2/10/2020,134.35,110.65,162.45,,0,135.8166667,,,,,,,,,,,,,,,
2/11/2020,99.48,87.27,106.11,,0,97.62,,,,,,,,,,,,,,,
2/12/2020,106.23,99.21,99.34,,0,101.5933333,,,,,,,,,,,,,,,
2/13/2020,110.27,100.12,103.03,,0,104.4733333,,,,,,,,,,,,,,,
2/14/2020,112.36,100.52,101.84,,0,104.9066667,,,,,,,,,,,,,,,
2/15/2020,118.85,102.98,107.83,,0,109.8866667,,,,,,,,,,,,,,,
2/16/2020,139.8,116.02,136.34,,0,130.72,,,,,,,,,,,,,,,
2/17/2020,138.41,109.92,155.82,,0,134.7166667,,,,,,,,,,,,,,,
2/18/2020,101.04,85.31,102.29,,35,96.21333333,,,,,,,,,,,,,,,
